,CM_BombPiece,CM_CrossPiece,CM_HorizontalPiece,CM_RainbowPiece,CM_RocketPiece,CM_VerticalPiece,L_BombPiece,L_CrossPiece,L_HorizontalPiece,L_RainbowPiece,L_RocketPiece,L_VerticalPiece,User,Method,L_Step,L_DecisionTime,PCGTime,Time,EVT_MatchNoHint,EVT_MatchIgnoringHint
100,3,0,1,0,2,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,41,12.203064,143,2023-08-04 04:34:13.014,False,False
101,3,1,1,0,2,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,42,2.23840332,155,2023-08-04 04:34:19.505,False,False
102,3,1,1,0,2,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,43,12.8040771,1564,2023-08-04 04:34:34.745,False,False
103,3,1,1,0,3,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,44,9.996277,1895,2023-08-04 04:34:48.971,False,False
104,3,1,1,0,3,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,45,8.32019,581,2023-08-04 04:34:58.752,False,False
105,3,1,1,1,3,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,46,8.015564,143,2023-08-04 04:35:09.311,False,False
106,4,1,1,1,3,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,47,10.8638306,389,2023-08-04 04:35:23.311,False,False
107,4,1,1,1,3,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,48,11.2676392,1467,2023-08-04 04:35:38.391,False,False
108,4,1,1,2,3,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,49,8.334473,1949,2023-08-04 04:35:49.523,False,False
109,4,1,1,2,3,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,50,14.07489,147,2023-08-04 04:36:06.035,False,False
110,5,1,1,2,3,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,51,22.7496338,147,2023-08-04 04:36:31.976,False,False
111,5,1,1,2,3,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,52,8.023987,151,2023-08-04 04:36:40.967,False,False
112,5,1,1,2,3,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,53,6.85998535,603,2023-08-04 04:36:49.252,False,False
